time,R,H,I,E,S
6.626142,113,0,86,198,9603
6.628927,113,0,87,197,9603
6.639687,113,0,87,198,9602
6.643083,113,0,87,199,9601
6.644668,114,0,86,199,9601
6.651835,115,0,85,199,9601
6.673070,115,0,85,200,9600
6.674925,116,0,84,200,9600
6.685964,116,0,84,201,9599
6.703012,116,0,84,202,9598
6.705029,117,0,83,202,9598
6.711601,117,0,84,201,9598
6.712782,117,0,84,202,9597
6.712996,117,0,85,201,9597
6.713760,117,0,86,200,9597
6.724409,117,0,86,201,9596
6.730078,117,0,86,202,9595
6.765638,117,0,87,201,9595
6.765784,117,0,88,200,9595
6.777962,117,0,89,199,9595
6.781867,117,0,89,200,9594
6.795259,117,0,90,199,9594
6.800321,117,0,91,198,9594
6.805541,117,0,91,199,9593
6.810563,117,0,91,200,9592
6.812395,118,0,90,200,9592
6.814938,118,0,90,201,9591
6.815488,118,0,90,202,9590
6.825124,118,0,90,203,9589
6.825475,118,0,90,204,9588
6.827660,118,0,90,205,9587
6.830644,118,0,90,206,9586
6.830899,119,0,89,206,9586
6.836567,120,0,88,206,9586
6.838444,121,0,87,206,9586
6.839771,122,0,86,206,9586
6.842493,122,0,86,207,9585
6.864981,122,0,87,206,9585
6.892442,123,0,86,206,9585
6.897024,123,0,86,207,9584
6.909043,124,0,85,207,9584
6.915390,125,0,84,207,9584
6.916646,125,0,84,208,9583
6.934625,125,0,84,209,9582
6.942433,125,0,84,210,9581
6.943065,125,0,84,211,9580
6.954595,125,0,84,212,9579
6.955214,125,0,85,211,9579
6.957969,126,0,84,211,9579
6.960623,126,0,85,210,9579
6.961394,126,0,86,209,9579
6.966122,126,0,87,208,9579
6.975803,126,0,88,207,9579
6.977322,126,0,88,208,9578
7.011254,126,0,88,209,9577
7.025938,126,0,89,208,9577
7.026634,126,0,90,207,9577
7.029634,126,0,90,208,9576
7.034665,126,0,90,209,9575
7.036570,127,0,89,209,9575
7.041421,127,0,89,210,9574
7.051606,127,0,90,209,9574
7.053603,127,0,91,208,9574
7.054679,127,0,91,209,9573
7.070126,128,0,90,209,9573
7.073254,129,0,89,209,9573
7.094598,129,0,89,210,9572
7.106057,129,0,89,211,9571
7.108870,129,0,89,212,9570
7.110164,129,0,89,213,9569
7.110845,129,0,89,214,9568
7.112975,129,0,89,215,9567
7.118746,130,0,88,215,9567
7.123919,130,0,89,214,9567
7.131469,130,0,89,215,9566
7.135201,130,0,90,214,9566
7.139113,130,0,90,215,9565
7.156664,130,0,91,214,9565
7.164730,130,0,91,215,9564
7.168151,130,0,91,216,9563
7.170533,130,0,92,215,9563
7.185511,130,0,92,216,9562
7.191720,130,0,92,217,9561
7.193159,131,0,91,217,9561
7.199781,132,0,90,217,9561
7.200265,132,0,90,218,9560
7.204972,132,0,90,219,9559
7.242197,132,0,90,220,9558
7.256015,132,0,90,221,9557
7.257407,132,0,90,222,9556
7.257525,132,0,91,221,9556
7.258795,132,0,91,222,9555
7.266160,132,0,92,221,9555
7.274797,132,0,92,222,9554
7.288908,132,0,92,223,9553
7.289223,132,0,93,222,9553
7.302028,132,0,94,221,9553
7.334609,132,0,94,222,9552
7.348424,133,0,93,222,9552
7.349889,133,0,94,221,9552
7.360984,134,0,93,221,9552
7.373176,134,0,94,220,9552
7.374724,134,0,94,221,9551
7.382207,134,0,94,222,9550
7.394199,134,0,94,223,9549
7.398129,134,0,95,222,9549
7.403171,134,0,96,221,9549
7.405262,135,0,95,221,9549
7.416716,135,0,95,222,9548
7.420898,136,0,94,222,9548
7.454412,136,0,94,223,9547
7.457668,136,0,95,222,9547
7.459244,137,0,94,222,9547
7.461463,137,0,94,223,9546
7.474232,138,0,93,223,9546
7.477974,139,0,92,223,9546
7.479463,140,0,91,223,9546
7.488420,140,0,91,224,9545
7.489047,140,0,92,223,9545
7.497973,140,0,92,224,9544
7.514620,140,0,92,225,9543
7.514859,140,0,93,224,9543
7.517691,140,0,93,225,9542
7.529307,140,0,93,226,9541
7.548758,140,0,94,225,9541
7.556252,140,0,95,224,9541
7.559632,141,0,94,224,9541
7.561757,142,0,93,224,9541
7.564732,142,0,93,225,9540
7.571980,142,0,94,224,9540
7.573038,143,0,93,224,9540
7.573780,143,0,94,223,9540
7.578499,144,0,93,223,9540
7.586762,144,0,94,222,9540
7.592948,144,0,95,221,9540
7.612973,145,0,94,221,9540
7.619888,145,0,95,220,9540
7.626799,145,0,96,219,9540
7.629550,145,0,96,220,9539
7.634093,146,0,95,220,9539
7.646566,147,0,94,220,9539
7.669304,147,0,95,219,9539
7.670093,147,0,95,220,9538
7.673515,147,0,95,221,9537
7.675658,147,0,96,220,9537
7.676249,147,0,97,219,9537
7.690030,147,0,98,218,9537
7.699063,147,0,99,217,9537
7.699066,147,0,100,216,9537
7.702277,147,0,100,217,9536
7.715645,148,0,99,217,9536
7.718775,148,0,99,218,9535
7.729691,148,0,99,219,9534
7.737574,148,0,99,220,9533
7.737794,148,0,100,219,9533
7.746075,148,0,101,218,9533
7.746081,149,0,100,218,9533
7.746468,149,0,100,219,9532
7.748370,150,0,99,219,9532
7.756320,150,0,100,218,9532
7.772273,151,0,99,218,9532
7.773613,151,0,100,217,9532
7.778784,152,0,99,217,9532
7.782767,152,0,99,218,9531
7.783627,152,0,100,217,9531
7.791466,153,0,99,217,9531
7.798154,153,0,99,218,9530
7.807949,153,0,100,217,9530
7.808867,153,0,100,218,9529
7.811743,154,0,99,218,9529
7.830200,155,0,98,218,9529
7.831101,155,0,98,219,9528
7.832827,155,0,99,218,9528
7.839882,155,0,100,217,9528
7.844622,155,0,100,218,9527
7.849026,156,0,99,218,9527
7.863042,156,0,99,219,9526
